""Great Performances"" Cats (1998) : 6625
'burbs, The (1989) : 1632
Flight of Dragons, The (1982) : 3899
Flight of the Phoenix, The (1965) : 4642
Flintstones in Viva Rock Vegas, The (2000) : 2847
Flintstones, The (1994) : 320
Flower of My Secret, The (La flor de mi secreto) (1995) : 544
Fluffer, The (2001) : 3811
Fly II, The (1989) : 1963
Fly, The (1958) : 1961
Fly, The (1986) : 1962
Fly, The (Légy, A) (1980) : 7369
Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003) : 5020
Fog, The (1980) : 905
Follow Me, Boys! (1966) : 5092
Fond Kiss, A (Ae Fond Kiss...) (2004) : 5952
Food, Inc. (2008) : 7304
Football Factory, The (2004) : 5954
For a Good Time, Call... (2012) : 7975
Forbidden Kingdom, The (2008) : 6911
Forgotten, The (2004) : 5565
Formula, The (1980) : 3904
Forsaken, The (2001) : 3390
Forsyte Saga, The (1967) : 8352
Fortune Cookie, The (1966) : 3335
Fountain, The (2006) : 6501
Four Days in September (O Que É Isso, Companheiro?) (1997) : 1383
Four Feathers, The (2002) : 4222
Four Musketeers, The (1974) : 5204
Four Seasons, The (1981) : 4291
Four, The (Si da ming bu) (2012) : 8494
Fourth Kind, The (2009) : 7361
Fox and the Hound, The (1981) : 837
Fragile Trust: Plagiarism, Power, and Jayson Blair at the New York Times, A (2013) : 8547
Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991) : 1535
French Connection, The (1971) : 1515
French Lieutenant's Woman, The (1981) : 3744
Freshman, The (1925) : 5645
Freshman, The (1990) : 4893
Friend of Mine, A (Ein Freund von mir) (2006) : 7082
Frighteners, The (1996) : 655
Front Page, The (1974) : 4984
Front, The (1976) : 5103
Frozen Ground, The (2013) : 8368
Fugitive, The (1993) : 406
Full Monty, The (1997) : 1305
Funeral, The (1996) : 898
Funhouse, The (1981) : 2427
Funny Thing Happened on the Way to the Forum, A (1966) : 5527
Fury, The (1978) : 2984
Future, The (2011) : 7855
Gambler, The (1974) : 4110
Game Plan, The (2007) : 6766
Game, The (1997) : 1294
Garbage Pail Kids Movie, The (1987) : 1957
Garden of the Finzi-Continis, The (Giardino dei Finzi-Contini, Il) (1970) : 3496
Gas, Food, Lodging (1992) : 4832
Gate of Heavenly Peace, The (1995) : 651
Gate, The (1987) : 1959
Gauntlet, The (1977) : 3834
Gay Divorcee, The (1934) : 728
General's Daughter, The (1999) : 2150
General, The (1926) : 2428
General, The (1998) : 1935
Getaway, The (1972) : 5308
Getaway, The (1994) : 408
Getting Go, the Go Doc Project (2013) : 8789
Ghost Writer, The (2010) : 7441
Ghost and Mr. Chicken, The (1966) : 4818
Ghost and Mrs. Muir, The (1947) : 763
Ghost and the Darkness, The (1996) : 849
Ghost of Frankenstein, The (1942) : 2122
Giant Mechanical Man, The (2012) : 8057
Giant Spider Invasion, The (1975) : 4085
Gift, The (2000) : 3221
Gingerbread Man, The (1998) : 1427
Girl Next Door, The (1999) : 5326
Girl Next Door, The (2004) : 5106
Girl Walks Home Alone at Night, A (2014) : 8717
Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes) (2009) : 7403
Girl Who Leapt Through Time, The (Toki o kakeru shôjo) (2006) : 6854
Girl Who Played with Fire, The (Flickan som lekte med elden) (2009) : 7438
Girl in the Café, The (2005) : 6187
Girl on the Bridge, The (Fille sur le pont, La) (1999) : 3055
Girl with the Dragon Tattoo, The (2011) : 7938
Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009) : 7164
Girl, Interrupted (1999) : 2562
Girlfriend Experience, The (2009) : 7192
Girls, Les (1957) : 4593
Giver, The (2014) : 8617
Glass Bottom Boat, The (1966) : 2528
Glass House, The (2001) : 3736
Glass Key, The (1942) : 6402
Gleaners & I, The (Les glaneurs et la glaneuse) (2000) : 3376
Glenn Miller Story, The (1953) : 4524
Glimmer Man, The (1996) : 808
Gnome-Mobile, The (1967) : 1608
Goat, The (1921) : 7685
Godfather, The (1972) : 695
Godfather: Part II, The (1974) : 977
Godfather: Part III, The (1990) : 1585
Gods Must Be Crazy II, The (1989) : 1709
Gods Must Be Crazy, The (1980) : 1708
Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984) : 1874
Going Places (Valseuses, Les) (1974) : 3936
Gold Rush, The (1925) : 2898
Golden Age, The (Âge d'Or, L') (1930) : 5653
Golden Child, The (1986) : 2192
Golden Compass, The (2007) : 6815
Golem, The (Golem, wie er in die Welt kam, Der) (1920) : 5642
Good Day to Die Hard, A (2013) : 8247
Good Earth, The (1937) : 2751
Good German, The (2006) : 6578
Good Girl, The (2002) : 4167
Good Morning, Babylon (1987) : 3286
Good Morning, Vietnam (1987) : 2752
Good Mother, The (1988) : 2753
Good Night, and Good Luck. (2005) : 6243
Good Shepherd, The (2006) : 6569
Good Son, The (1993) : 3954
Good Thief, The (2002) : 4550
Good bye, Lenin! (2003) : 5099
Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966) : 958
Good, the Bad, the Weird, The (Joheunnom nabbeunnom isanghannom) (2008) : 7155
Goodbye Girl, The (1977) : 2600
Goodbye, Columbus (1969) : 5505
Goodbye, Mr. Chips (1939) : 5091
Goods: Live Hard, Sell Hard, The (2009) : 7272
Goofy Movie, A (1995) : 211
Goonies, The (1985) : 1567
Gospel According to St. Matthew, The (Vangelo secondo Matteo, Il) (1964) : 4716
Governess, The (1998) : 1622
Graduate, The (1967) : 1001
Grand Budapest Hotel, The (2014) : 8505
Grand Day Out with Wallace and Gromit, A (1989) : 979
Grand, The (2007) : 6938
Grapes of Wrath, The (1940) : 2487
Grass Harp, The (1995) : 639
Grass Is Greener, The (1960) : 3749
Great Beauty, The (Grande Bellezza, La) (2013) : 8347
Great Buck Howard, The (2008) : 7195
Great Debaters, The (2007) : 6837
Great Dictator, The (1940) : 1035
Great Ecstasy of Woodcarver Steiner, The (Große Ekstase des Bildschnitzers Steiner, Die) (1974) : 7132
Great Escape, The (1963) : 1016
Great Gatsby, The (1974) : 5032
Great Gatsby, The (2013) : 8291
Great Mouse Detective, The (1986) : 1609
Great Muppet Caper, The (1981) : 2710
Great Outdoors, The (1988) : 3555
Great Race, The (1965) : 874
Great Rock 'n' Roll Swindle, The (1980) : 3986
Great Santini, The (1979) : 2521
Great White Hype, The (1996) : 611
Great Ziegfeld, The (1936) : 1494
Greatest Game Ever Played, The (2005) : 6223
Greatest Show on Earth, The (1952) : 1505
Greatest Story Ever Told, The (1965) : 3338
Green Berets, The (1968) : 6059
Green Hornet, The (2011) : 7688
Green Mile, The (1999) : 2531
Green Ray, The (Rayon vert, Le) (1986) : 4733
Grey Zone, The (2001) : 4264
Grey, The (2012) : 7951
Greystoke: The Legend of Tarzan, Lord of the Apes (1984) : 4906
Grifters, The (1990) : 938
Groove Tube, The (1974) : 5759
Group, The (1966) : 7252
Grudge 2, The (2006) : 6524
Grudge 3, The (2009) : 7133
Grudge, The (2004) : 5602
Guard, The (2011) : 7822
Guardian, The (1990) : 2393
Guest, The (2014) : 8628
Guide to Recognizing Your Saints, A (2006) : 6539
Guilt Trip, The (2012) : 8198
Gun in Betty Lou's Handbag, The (1992) : 4827
Guns of Navarone, The (1961) : 2911
Guru, The (2002) : 4446
Guy Thing, A (2003) : 4424
Hail, Caesar! (2016) : 8971
Hand That Rocks the Cradle, The (1992) : 2605
Hand, The (1981) : 4295
Handmaid's Tale, The (1990) : 4747
Hangover Part II, The (2011) : 7787
Hangover Part III, The (2013) : 8297
Hangover, The (2009) : 7218
Happening, The (2008) : 6954
Happenstance (Battement d'ailes du papillon, Le) (2001) : 5444
Happiest Millionaire, The (1967) : 1610
Happy, Texas (1999) : 2319
Hard Day's Night, A (1964) : 2293
Hard Way, The (1943) : 5674
Harder They Come, The (1973) : 4441
Harder They Fall, The (1956) : 4449
Harmonists, The (1997) : 1995
Harvey Girls, The (1946) : 4097
Hate (Haine, La) (1995) : 89
Haunted House, The (1921) : 7679
Haunted Mansion, The (2003) : 4885
Haunted World of Edward D. Wood Jr., The (1996) : 609
Haunted World of El Superbeasto, The (2009) : 7319
Haunting, The (1963) : 2043
Haunting, The (1999) : 2176
Heart Is a Lonely Hunter, The (1968) : 5737
Heartbreak Kid, The (2007) : 6769
Heat, The (2013) : 8325
Heaven Knows, Mr. Allison (1957) : 4644
Heiress, The (1949) : 5407
Hello, Dolly! (1969) : 4770
Hello, My Name Is Doris (2016) : 9024
Help, The (2011) : 7833
Henry V (Chronicle History of King Henry the Fift with His Battell Fought at Agincourt in France, The) (1944) : 5679
Hi-Lo Country, The (1998) : 1950
Hidden Fortress, The (Kakushi-toride no san-akunin) (1958) : 5271
Hidden, The (1987) : 2858
High and the Mighty, The (1954) : 5427
Hills Have Eyes II, The (2007) : 6643
Hills Have Eyes, The (1977) : 4210
Hills Have Eyes, The (2006) : 6373
Hip Hop Witch, Da (2000) : 5078
History Boys, The (2006) : 6574
History of Violence, A (2005) : 6221
Hitch-Hiker, The (1953) : 2512
Hitcher, The (2007) : 6587
Hitchhiker's Guide to the Galaxy, The (2005) : 6106
Hobbit, The (1977) : 5776
Hobbit: An Unexpected Journey, The (2012) : 8185
Hobbit: The Desolation of Smaug, The (2013) : 8427
Holiday, The (2006) : 6555
Hollywood Knights, The (1980) : 2889
Holy Mountain, The (Montaña sagrada, La) (1973) : 5762
Honey, I Blew Up the Kid (1992) : 1614
Honey, I Shrunk the Kids (1989) : 1615
Horse Whisperer, The (1998) : 1362
Horseman on the Roof, The (Hussard sur le toit, Le) (1995) : 604
Hospital, The (1971) : 4830
Host, The (2013) : 8271
Host, The (Gwoemul) (2006) : 6635
Hot Chick, The (2002) : 4385
Hot Spot, The (1990) : 3012
Hotel New Hampshire, The (1984) : 3679
Hound of the Baskervilles, The (1939) : 5399
Hound of the Baskervilles, The (1959) : 4103
Hour of the Pig, The (1993) : 4679
Hours, The (2002) : 4414
House Bunny, The (2008) : 7006
House I Live In, The (2012) : 8134
House by the Cemetery, The (Quella villa accanto al cimitero) (1981) : 3493
House of Mirth, The (2000) : 3225
House of Yes, The (1997) : 1312
House of the Dead, The (2003) : 4844
House of the Devil, The (2009) : 7430
House of the Spirits, The (1993) : 417
House on the Edge of the Park, The (Casa sperduta nel parco, La) (1980) : 4418
House with Laughing Windows, The (Casa dalle finestre che ridono, La) (1976) : 4537
Howling, The (1980) : 907
Hudsucker Proxy, The (1994) : 419
Human Centipede II (Full Sequence), The (2011) : 7956
Human Centipede, The (First Sequence) (2009) : 7499
Human Condition I, The (Ningen no joken I) (1959) : 5415
Human Stain, The (2003) : 4868
Hunchback of Notre Dame, The (1939) : 4971
Hunchback of Notre Dame, The (1996) : 647
Hunt for Red October, The (1990) : 1281
Hunt, The (Jagten) (2012) : 8118
Hunted, The (1995) : 223
Hunted, The (2003) : 4513
Hunter, The (1980) : 3723
Hunting Party, The (2007) : 6758
Hurricane, The (1999) : 2555
Hurt Locker, The (2008) : 7229
Hush... Hush, Sweet Charlotte (1964) : 5718
Hustler, The (1961) : 2769
I Love You, Beth Cooper (2009) : 7276
I Love You, Man (2009) : 7160
I Was Born, But... (a.k.a. Children of Tokyo) (Otona no miru ehon - Umarete wa mita keredo) (1932) : 5656
I, Frankenstein (2014) : 8480
I, Robot (2004) : 5478
Ice Harvest, The (2005) : 6284
Ice Pirates, The (1984) : 5798
Ice Storm, The (1997) : 1301
Ideal Husband, An (1999) : 2152
Ides of March, The (2011) : 7870
Idiots, The (Idioterne) (1998) : 2852
Illusionist, The (2006) : 6485
Illusionist, The (L'illusionniste) (2010) : 7621
Ilsa, She Wolf of the SS (1974) : 3077
Imaginarium of Doctor Parnassus, The (2009) : 7254
Immature, The (Immaturi) (2011) : 8079
Immigrant, The (1917) : 5425
Importance of Being Earnest, The (2002) : 4101
Impossible, The (Imposible, Lo) (2012) : 8202
Imposter, The (2012) : 8149
Impostors, The (1998) : 1816
In-Laws, The (1979) : 5782
Inbetweeners 2, The (2014) : 8620
Inbetweeners Movie, The (2011) : 7854
Inconvenient Truth, An (2006) : 6433
Incredible Burt Wonderstone, The (2013) : 8263
Incredible Hulk, The (2008) : 6955
Incredible Journey, The (1963) : 1618
Incredible Mr. Limpet, The (1964) : 4248
Incredibles, The (2004) : 5611
Incredibly True Adventure of Two Girls in Love, The (1995) : 2449
Independent, The (2000) : 3843
Indian in the Cupboard, The (1995) : 56
Informant!, The (2009) : 7299
Inheritance, The (Arven) (2003) : 5329
Inkwell, The (1994) : 424
Inn of the Sixth Happiness, The (1958) : 4727
Innkeepers, The (2011) : 7964
Innocent Man, An (1989) : 3619
Innocents, The (1961) : 867
Insider, The (1999) : 2415
Inspector General, The (1949) : 781
International, The (2009) : 7138
Internet's Own Boy: The Story of Aaron Swartz, The (2014) : 8580
Internship, The (2013) : 8293
Interpreter, The (2005) : 5942
Interrupters, The (2011) : 7856
Interview, The (1998) : 5868
Invasion, The (2007) : 6739
Invention of Lying, The (2009) : 7321
Invisible Circus, The (2001) : 3260
Invisible Man, The (1933) : 3142
Invisible, The (2007) : 6667
Ipcress File, The (1965) : 2394
Iron Giant, The (1999) : 2211
Iron Lady, The (2011) : 7947
Iron Mask, The (1929) : 6948
Island of Dr. Moreau, The (1977) : 7545
Island of Dr. Moreau, The (1996) : 707
Island, The (2005) : 6166
It's a Mad, Mad, Mad, Mad World (1963) : 3751
It's the Great Pumpkin, Charlie Brown (1966) : 6974
Italian Job, The (1969) : 4860
Italian Job, The (2003) : 4605
Jackal, The (1997) : 1340
Jacket, The (2005) : 5929
James Dean Story, The (1957) : 2522
January Man, The (1989) : 3620
Jazz Singer, The (1980) : 3990
Jeff, Who Lives at Home (2012) : 7999
Jerk, The (1979) : 1669
Jerky Boys, The (1995) : 227
Jetée, La (1962) : 5413
Jewel of the Nile, The (1985) : 1915
Joneses, The (2009) : 7582
Journey of Natty Gann, The (1985) : 1637
Journey, The (El viaje) (1992) : 8500
Joy Luck Club, The (1993) : 1333
Judge, The (2014) : 8656
Jungle Book, The (1967) : 1638
Jungle Book, The (1994) : 326
Juror, The (1996) : 73
Karate Kid, Part II, The (1986) : 1931
Karate Kid, Part III, The (1989) : 1932
Karate Kid, The (1984) : 1930
Karate Kid, The (2010) : 7558
Kentuckian, The (1955) : 3429
Kentucky Fried Movie, The (1977) : 3008
Kid Brother, The (1927) : 5403
Kid Stays in the Picture, The (2002) : 4158
Kid With a Bike, The (Le gamin au vélo) (2011) : 7784
Kid in King Arthur's Court, A (1995) : 230
Kid, The (1921) : 2654
Kid, The (2000) : 3024
Kidnapping, Caucasian Style (Kavkazskaya plennitsa) (1967) : 8453
Kids Are All Right, The (2010) : 7559
Killer Shrews, The (1959) : 3143
Killer, The (Die xue shuang xiong) (1989) : 974
Killers, The (1946) : 5281
Killers, The (1964) : 5719
Killing Fields, The (1984) : 1052
Killing of a Chinese Bookie, The (1976) : 5002
Killing, The (1956) : 2183
King Is Alive, The (2000) : 3416
King and I, The (1956) : 2056
King and I, The (1999) : 2051
King in New York, A (1957) : 2906
King of Comedy, The (1983) : 4419
King of Kong, The (2007) : 6744
King of Marvin Gardens, The (1972) : 2866
King of Masks, The (Bian Lian) (1996) : 2087
King's Speech, The (2010) : 7647
Kingdom, The (2007) : 6736
Kingdom, The (Riget) (1994) : 5163
Kings of Summer, The (2013) : 8310
Kiss Before Dying, A (1956) : 4403
Kiss Me, Guido (1997) : 1283
Kite Runner, The (2007) : 6827
Knight's Tale, A (2001) : 3414
Knot, The (2012) : 8328
Krays, The (1990) : 5827
Ladies Man, The (2000) : 3162
Lady Eve, The (1941) : 2354
Lady Vanishes, The (1938) : 1755
Lady and the Duke, The (Anglaise et le duc, L') (2001) : 4092
Lady from Shanghai, The (1947) : 5688
Ladykillers, The (1955) : 4215
Ladykillers, The (2004) : 5119
Lake House, The (2006) : 6420
Land Before Time, The (1988) : 3560
Landlord, The (1970) : 5742
Last Airbender, The (2010) : 7543
Last American Virgin, The (1982) : 4455
Last Boy Scout, The (1991) : 4919
Last Castle, The (2001) : 3793
Last Circus, The (Balada triste de trompeta) (Sad Trumpet Ballad, A) (2010) : 7676
Last Days of Disco, The (1998) : 1423
Last Days, The (1998) : 1996
Last Detail, The (1973) : 2572
Last Dragon, The (1985) : 3506
Last Emperor, The (1987) : 1522
Last House on the Left, The (1972) : 4200
Last King of Scotland, The (2006) : 6531
Last Kiss, The (Ultimo bacio, L') (2001) : 4165
Last Laugh, The (Letzte Mann, Der) (1924) : 3485
Last Metro, The (Dernier métro, Le) (1980) : 3778
Last Mimzy, The (2007) : 6633
Last Picture Show, The (1971) : 2534
Last Samurai, The (2003) : 5011
Last Seduction, The (1994) : 4363
Last Shot, The (2004) : 5566
Last Song, The (2010) : 7497
Last Starfighter, The (1984) : 5471
Last Supper, The (1995) : 549
Last Temptation of Christ, The (1988) : 1584
Last Time I Saw Paris, The (1954) : 789
Last Unicorn, The (1982) : 4456
Last Waltz, The (1978) : 4105
Last Wave, The (1977) : 3825
Last of England, The (1988) : 7409
Last of the Mohicans, The (1992) : 1143
Late Show, The (1977) : 5138
Lavender Hill Mob, The (1951) : 4216
Law of Desire (Ley del deseo, La) (1987) : 5811
Lawnmower Man, The (1992) : 841
League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003) : 4687
League of Ordinary Gentlemen, A (2004) : 6068
League of Their Own, A (1992) : 2611
Legally Blonde 2: Red, White & Blonde (2003) : 4682
Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998) : 2153
Legend of Bagger Vance, The (2000) : 3183
Legend of Drunken Master, The (Jui kuen II) (1994) : 3178
Legend of Zorro, The (2005) : 6252
Legend of the Red Dragon (a.k.a. New Legend of Shaolin, The) (Hong Xi Guan: Zhi Shao Lin wu zu) (1994) : 7432
Legend, The (Legend of Fong Sai-Yuk, The) (Fong Sai Yuk) (1993) : 5248
Leopard, The (Gattopardo, Il) (1963) : 5504
Letter to Elia, A (2010) : 7830
Letter to Three Wives, A (1949) : 5692
Letter, The (1940) : 5671
Liability, The (2012) : 8239
Librarian, The: The Curse of the Judas Chalice (2008) : 7248
Librarian: Return to King Solomon's Mines, The (2006) : 6688
Life Aquatic with Steve Zissou, The (2004) : 5975
Life Less Ordinary, A (1997) : 1319
Life and Death of Colonel Blimp, The (1943) : 4325
Life and Death of Peter Sellers, The (2004) : 6000
Life and Times of Hank Greenberg, The (1998) : 2563
Life of David Gale, The (2003) : 4497
Life of Emile Zola, The (1937) : 1495
Lifeguard, The (2013) : 8330
Like Father, Like Son (Soshite chichi ni naru) (2013) : 8465
Limey, The (1999) : 2335
Limits of Control, The (2009) : 7231
Lincoln Lawyer, The (2011) : 7712
Lion King II: Simba's Pride, The (1998) : 5866
Lion King, The (1994) : 328
Lion in Winter, The (1968) : 3498
Little Colonel, The (1935) : 7917
Little Foxes, The (1941) : 3753
Little Girl Who Lives Down the Lane, The (1976) : 6093
Little Mermaid, The (1989) : 1641
Little Princess, A (1995) : 234
Little Princess, The (1939) : 738
Little Rascals, The (1994) : 513
Little Romance, A (1979) : 4433
Little Shop of Horrors, The (1960) : 2199
Littlest Rebel, The (1935) : 5442
Lives of Others, The (Das leben der Anderen) (2006) : 6376
Living Daylights, The (1987) : 3207
Lizzie McGuire Movie, The (2003) : 4580
Lock, Stock & Two Smoking Barrels (1998) : 2038
Lodger: A Story of the London Fog, The (1927) : 1762
Lone Ranger, The (2013) : 8326
Long Good Friday, The (1980) : 3991
Long Goodbye, The (1973) : 2009
Long Kiss Goodnight, The (1996) : 848
Long Riders, The (1980) : 3992
Long Walk Home, The (1990) : 2966
Long, Hot Summer, The (1958) : 4645
